2,Karly,Schroeder,ivoibscomcast.net,30,Afghanistan
3,Eden,Phelps,gtaylor@yahoo.ca,0,Albania
5,Essence,Gibson,chaki@yahoo.com,0,"American Samoa"
6,Mareli,Griffin,lukka@icloud.com,16,Andorra
7,Philip,Blanchard,snunezlive.com,52,
9,Jaylyn,Moran,lcheng@comcast.net,16,Antarctica
10,Arnav,Wallace,farber@hotmail.com,17,"Antigua and Barbuda"
11,Willow,Gentry,fviegas@verizon.net,0,Argentina
12,Taylor,Washington,drolsky@att.net,0,Armenia
22,Noelle,Rowe,ducasseyahoo.ca,22,Burundi
23,Raphael,Sellers,attwood@mac.com,11,"Cabo Verde"
24,Kellen,Snow,marcs@aol.com,199,Cambodia
25,Jeremy,Doyle,shrapnull@optonline.net,0,Cameroon
29,Sierra,Collins,scottlee@att.net,14,Chad
33,Raelynn,Gallagher,qrczaklive.com,25,Comoros
35,Serenity,Faulkner,cantu@mac.com,11,Comoros
44,Lilah,Riddle,evilopieicloud.com,66,Czechia
45,Kaila,Kemp,cremonini@aol.com,0,Ecuador
47,Tamia,Cobb,daveewart@me.com,16,Denmark
48,Nina,Branch,williamyahoo.ca,96,Djibouti
